Site,Plot,plot.number,Species,Tag,Date,pd_md,year,water_potential_mpa,Notes,Flag
Serpentine,Serpentine,,Blue,2047,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2047,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2048,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2048,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2048,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2048,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2048,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2048,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2049,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2049,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2049,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2049,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2049,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2049,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2050,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2050,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2050,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2050,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2050,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2050,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2051,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2051,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2051,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2051,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2051,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2051,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2052,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2052,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2052,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2052,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2052,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2052,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2053,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2053,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2053,2024-09-05,pd,,,,
